id,Name,Date (UTC),Description,Url,Tax Code,type (metadata),data (metadata),country (metadata),continent (metadata),validity (metadata)
prod_SQXgbCeMvTMkGY,Australia,2025-06-02 22:12,eSIM data plans for Australia,,,eSIM,,Australia,Oceania,
prod_SQXgKo6J7D71Tx,Argentina,2025-06-02 22:12,eSIM data plans for Argentina,,,eSIM,,Argentina,South America,
prod_SQXg7Apv9DqV45,Zambia,2025-06-02 22:12,eSIM data plans for Zambia,,,eSIM,,Zambia,Other,
prod_SQXfSq7fGIN6O2,Vietnam,2025-06-02 22:12,eSIM data plans for Vietnam,,,eSIM,,Vietnam,Other,
prod_SQXfdIZ1AdfnYx,Venezuela,2025-06-02 22:12,eSIM data plans for Venezuela,,,eSIM,,Venezuela,Other,
prod_SQXfEDebG8uDiT,Vanuatu,2025-06-02 22:12,eSIM data plans for Vanuatu,,,eSIM,,Vanuatu,Other,
prod_SQXfZtyNtWtiVc,Uzbekistan,2025-06-02 22:11,eSIM data plans for Uzbekistan,,,eSIM,,Uzbekistan,Other,
prod_SQXfnckGTirk0t,Uruguay,2025-06-02 22:11,eSIM data plans for Uruguay,,,eSIM,,Uruguay,Other,
prod_SQXfBpsi0WK7rl,United Arab Emirates,2025-06-02 22:11,eSIM data plans for United Arab Emirates,,,eSIM,,United Arab Emirates,Other,
prod_SQXfxpDu7owgtU,Ukraine,2025-06-02 22:11,eSIM data plans for Ukraine,,,eSIM,,Ukraine,Other,
prod_SQXeWfTUITQc1h,Uganda,2025-06-02 22:11,eSIM data plans for Uganda,,,eSIM,,Uganda,Other,
prod_SQXe3jPsKj1eZA,USA,2025-06-02 22:11,eSIM data plans for USA,,,eSIM,,USA,Other,
prod_SQXe7vSfLY3F6m,UK,2025-06-02 22:10,eSIM data plans for UK,,,eSIM,,UK,Other,
prod_SQXeKDr8JlPHni,U.S. Virgin Islands,2025-06-02 22:10,eSIM data plans for U.S. Virgin Islands,,,eSIM,,U.S. Virgin Islands,Other,
prod_SQXeomaIFvaKO9,Turks and Caicos Islands,2025-06-02 22:10,eSIM data plans for Turks and Caicos Islands,,,eSIM,,Turks and Caicos Islands,Other,
prod_SQXexEv7tLMTvK,Turkey,2025-06-02 22:10,eSIM data plans for Turkey,,,eSIM,,Turkey,Other,
prod_SQXelfvorAVdoh,Tunisia,2025-06-02 22:10,eSIM data plans for Tunisia,,,eSIM,,Tunisia,Other,
prod_SQXd1NFYH3znXI,Trinidad and Tobago,2025-06-02 22:10,eSIM data plans for Trinidad and Tobago,,,eSIM,,Trinidad and Tobago,Other,
prod_SQXdNmolzfrcLp,Tonga,2025-06-02 22:10,eSIM data plans for Tonga,,,eSIM,,Tonga,Other,
